,Date,Description,Amount,Category,Subcategory
0,30/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-6.20,Transport,TfL
1,30/06/2023,ZETTLE_*ELIOR UK P MACCLESFIELD,-1.45,Food in office,
2,30/06/2023,CARDS GALORE LONDON,-3.79,Gifts,Cards
3,30/06/2023,KUBRICK GROUP LTD CR,"2,532.94",Income,Pay
4,28/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-7.35,Transport,TfL
5,28/06/2023,ODEON TOTTENHAM LONDON,-5.10,Entertainment,Cinema
6,28/06/2023,ZETTLE_*ELIOR UK P MACCLESFIELD,-1.45,Food in office,
7,27/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-6.80,Transport,TfL
8,27/06/2023,TESCO STORES 6545 LONDON,-3.90,Food in office,Lunch
9,27/06/2023,WEEKLY FOOD ROWLAND J&C CR,50.00,Income,Parents
10,26/06/2023,VILLAGE WHOLE FOOD LONDON,-10.28,Groceries,Solo
11,26/06/2023,BURGER KING LONDON,-9.79,Eating Out/Takeaway,Eating Out
12,26/06/2023,NOW X8818 Sports London VIS,-26.99,TV Subscription,NowTV Sport
13,26/06/2023,DELIVEROO LONDON VIS,-18.48,Eating Out/Takeaway,Takeaway
14,26/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-8.10,Transport,TfL
15,26/06/2023,WAXY O CONNORS LON LONDON,-9.87,,
16,26/06/2023,WHITE LION 010006 LONDON WC2E,-31.95,,
17,26/06/2023,ZETTLE_*GUJARATI R LONDON,-12.25,,
18,26/06/2023,Clarence London,-34.75,,
19,26/06/2023,CO  OP GROUP FOOD LONDON SW11,-2.85,,
20,26/06/2023,WWW.STICKLANDPHARM MIDDLESEX VIS,-17.80,,
21,26/06/2023,Thomas Rowland Cycle BP,-10.00,,
22,23/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-6.80,Transport,TfL
23,22/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-6.20,Transport,TfL
24,21/06/2023,CO  OP GROUP FOOD LONDON SW11,-2.70,,
25,21/06/2023,1 STOP WASH LONDON VIS,-35.00,,
26,21/06/2023,SAINSBURYS.CO.UK 0800 328 1700 VIS,-69.98,Groceries,Solo
27,20/06/2023,AMZNMktplace amazon.co.uk VIS,-8.99,,
28,20/06/2023,TRAINLINE.COM LONDON VIS,-22.40,Transport,Train
29,20/06/2023,TESCO STORES  5678 LONDON,-4.65,Groceries,Solo
30,20/06/2023,WEEKLY FOOD ROWLAND J&C CR,50.00,Income,Parents
31,19/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-7.35,Transport,TfL
32,19/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-7.35,Transport,TfL
33,19/06/2023,The Tollington Arm London,-11.50,,
34,19/06/2023,The Tollington Arm London,-17.00,,
35,19/06/2023,The Tollington Arm London,-12.40,,
36,19/06/2023,MARKS&SPENCER PLC LONDON N4,-1.05,,
37,19/06/2023,SumUp  *Engthai London,-3.50,,
38,19/06/2023,CO  OP GROUP FOOD LONDON SW11,-11.70,,
39,16/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-6.20,Transport,TfL
40,16/06/2023,GLOBE   003700 LONDON  EC2M,-36.00,Drinks,Work drinks
41,16/06/2023,Amazon Prime*5V38X amzn.co.uk/pm VIS,-8.99,TV Subscription,Amazon Prime
42,15/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-6.80,Transport,TfL
43,14/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-13.85,Transport,TfL
44,13/06/2023,NOW 9BCF1 Ents London VIS,-9.99,TV Subscription,NowTV Entertainment
45,13/06/2023,WEEKLY FOOD ROWLAND J&C CR,50.00,Income,Parents
46,12/06/2023,Non-Sterling Transaction Fee DR,-0.03,,
47,12/06/2023,INT'L 0069310848 NLOV6D5EQEA4KAE54L WWW.OVPAY.NL EUR 1.49 @ 1.1640  Visa Rate,-1.28,,
48,12/06/2023,Microsoft G0239852 msbill.info VIS,-13.79,Cloud and APIs,Azure
49,11/06/2023,MeganTom Joint Topup BP,-200.00,,
50,09/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-13.85,Transport,TfL
51,07/06/2023,TESCO STORES 6545 LONDON,-3.40,Food in office,Lunch
52,06/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-7.55,Transport,TfL
53,06/06/2023,Zettle_*ELIOR UK P Macclesfield,-6.25,,
54,06/06/2023,ROSAS LONDON  SW1V,-26.40,Eating Out/Takeaway,Eating Out
55,06/06/2023,WEEKLY FOOD ROWLAND J&C CR,50.00,Income,Parents
56,05/06/2023,AMZNMktplace amazon.co.uk VIS,-6.69,,
57,05/06/2023,NOW F9AFE Boost London VIS,-6.00,TV Subscription,NowTV Sport
58,05/06/2023,BREWDOG.COM ELLON VIS,-27.90,,
59,05/06/2023,MOONPIG LONDON VIS,-4.99,Gifts,Cards
60,05/06/2023,UBER* EATS LONDON VIS,-15.33,Eating Out/Takeaway,Takeaway
61,05/06/2023,Thomas Rowland Cycle BP,-10.00,,
62,01/06/2023,Zettle_*ELIOR UK P Macclesfield,-1.45,,
63,01/06/2023,TFL TRAVEL CH TFL.GOV.UK/CP,-6.80,Transport,TfL
64,01/06/2023,TESCO STORES 6545 LONDON,-3.40,Food in office,Lunch
65,01/06/2023,400244 42460939 INTERNET TRANSFER TFR,-14.99,,
